class,latitude,longitude,elevation,ndvi,ndwi,slope,TWI,TPI,precip,soil,onlyDistanceWater,distToRoad
1,24.9872766,91.7080655,12,0.014777771,0.16555202,1.3807881,33697.35269,1.074074074,54.57589,4,11.866667,395.0972039
1,25.07066672,91.77902154,12,0.46152368,-0.34549,0.92740995,50142.84771,-0.456790123,51.48252,4,14.133333,245.5655772
1,25.11884443,91.75257709,18,0.22719234,-0.23691262,4.1936216,11065.86683,2.234567901,51.92634,4,60.833332,120.9360542
1,25.11735173,91.75086716,14,0.26898107,-0.24642856,5.909039,7839.627713,-1.641975309,51.92634,4,86.03333,236.1140613
1,25.03124984,91.78029802,15,0.35448024,-0.23854697,1.8543341,25079.29565,2.654320988,51.36942,4,13.666667,339.6111862
1,25.04761564,91.71330898,9,0.27329436,-0.11906801,1.0236602,45435.57531,-0.049382716,49.474915,7,0.8333333,526.4226738
1,25.08086117,91.85083254,12,0.18025005,-0.04931795,1.3813665,33658.13658,0.074074074,50.221912,4,28.033333,449.4379705
1,25.02665245,91.75199337,9,0.5426287,-0.37530822,2.962135,15692.0193,-2.345679012,51.36942,4,99.63333,258.2021857
1,25.07481909,91.7584405,10,0.17114633,3.56E-04,1.0238876,45415.61364,-0.456790123,51.48252,4,16.033333,41.62684023
1,25.0830552,91.7682991,10,0.46066692,-0.31547323,2.047261,22704.79418,-3.555555556,51.48252,4,5.233333,691.1064166
1,25.01728668,91.80550782,18,0.565574,-0.4410091,2.246199,20702.97334,4.592592593,51.375427,6,79.76667,25.53292301
1,25.07090112,91.84467286,9,0.5348329,-0.44126928,3.4506974,13461.24771,-2.24691358,51.454678,6,3.7666667,942.3830707
1,25.1358553,91.8429383,14,0.60487163,-0.48260716,1.3817079,33635.02085,0.454545455,52.62562,4,120.333336,458.8525109
1,25.05449515,91.78624486,13,0.5862568,-0.43025878,1.3812032,33669.21599,0.098765432,51.48252,6,12.033334,847.2857994
1,25.02860289,91.69680504,6,0.28607595,-0.13846643,4.8047056,9660.016417,-3.185185185,49.88214,4,3.3666666,341.4343103
1,25.13610684,91.83688514,11,0.47420394,-0.28440198,0,0,-1.592592593,52.62562,4,80.13333,35.08017658
1,25.03229055,91.74025165,11,0.4045002,-0.2882271,2.7605286,16839.25199,2.209876543,49.474915,4,110.53333,508.8280542
1,25.17014571,91.81825251,23,0.560468,-0.42947063,1.3819222,33620.50646,-0.654320988,49.728397,4,629.86664,432.039852
